id,fecha,hipotesis,fase,directorio_mejoras,notebook_o_script,output_metricas,seed,macro_dice_fg_test,macro_iou_fg_test,notas,decision
0,,Baseline cascada V3 core,0,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase0_base/,notebooks/v3_local/train_spine_cascade_binary_to_thoracolumbar_v3.ipynb,outputs/analysis_outputs_v3/training_runs_cascade_v3/,42,0.1894,0.1126,Ver RESULTADOS_Y_DECISIONES_GENERAL.md,N/A baseline
1_cpu,,Letterbox ROI multiclase (perfil liviano CPU),1,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase1_letterbox_roi/,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase1_letterbox_roi/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase1_letterbox_roi_cpu.ipynb,outputs/analysis_outputs_v3/training_runs_cascade_v3_fase1_letterbox_cpu/,42,,,Opcional; metricas no prioritarias para decision de fase; ver RESULTADOS si se ejecuta
1_cuda,2026-05-14,Letterbox en crop multiclase vs resize base,1,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase1_letterbox_roi/,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase1_letterbox_roi/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase1_letterbox_roi_cuda.ipynb,outputs/analysis_outputs_v3/training_runs_cascade_v3_fase1_letterbox_cuda/,42,0.1807,0.1038,Bin test Dice 0.8581; val_macro_dice_fg max ~0.212 ep24; ROI 198/198 pred_binary; delta macro test -0.0087 vs baseline,No adoptar
2_cuda,2026-05-14,Pesos CE x1.40 en T7-T12 (class_id 7-12) tras estimate_multiclass_class_weights; Dice multiclase sin cambio,2,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase2_pesos_clases_t7_t12/,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase2_pesos_clases_t7_t12/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase2_pesos_clases_t7_t12_cuda.ipynb,outputs/analysis_outputs_v3/training_runs_cascade_v3_fase2_pesos_t7_t12_cuda/,42,0.1896,0.1104,Bin test Dice 0.8767; val_macro_dice_fg max ~0.2019 ep21; macro_dice test +0.0002 vs baseline; macro_iou -0.0022; L5 dice cae ~0.216 a ~0.147; T7-T12 suben vs baseline; ROI 198/198 pred_binary,No adoptar
3_cpu,,LR multiclase x0.75 + CosineAnnealingLR (perfil CPU),3,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase3_scheduler_lr/,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase3_scheduler_lr/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase3_scheduler_lr_cpu.ipynb,outputs/analysis_outputs_v3/training_runs_cascade_v3_fase3_scheduler_lr_cpu/,42,,,Opcional; metricas no prioritarias para decision de fase; ver RESULTADOS si se ejecuta,Pendiente
3_cuda,2026-05-15,LR multiclase x0.5 + CosineAnnealingLR (perfil Colab),3,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase3_scheduler_lr/,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase3_scheduler_lr/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase3_scheduler_lr_cuda.ipynb,outputs/analysis_outputs_v3/training_runs_cascade_v3_fase3_scheduler_lr_cuda/,42,0.2323,0.1375,Run A: Bin Dice 0.8611 (variacion GPU vs baseline 0.8713); val_macro_dice_fg max ~0.2345 ep22; macro +0.0429/+0.0249 vs baseline; ver 3_cuda_repro_b,Adoptar con condicion
3_cuda_repro_b,2026-05-14,Repeticion run A + cudnn deterministic (verificacion),3,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase3_scheduler_lr/,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase3_scheduler_lr/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase3_scheduler_lr_cuda_repro_verificacion.ipynb,outputs/analysis_outputs_v3/training_runs_cascade_v3_fase3_scheduler_lr_cuda_repro_b/,42,0.2345,0.1387,Run B: Bin Dice 0.8710 vs baseline 0.8713; macro_dice +0.0022 vs run A; val max ~0.2214 ep22; T9/L5 vs A up T10 down; ROI 198/198; levanta condicion,Adoptar
4_cpu,,Augment ROI multiclase train (rot +/-4deg scale 0.98-1.02) perfil CPU,4,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase4_augmentacion_roi/,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase4_augmentacion_roi/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase4_augmentacion_roi_cpu.ipynb,outputs/analysis_outputs_v3/training_runs_cascade_v3_fase4_augment_roi_cpu/,42,,,Opcional; metricas no prioritarias para decision de fase; ver RESULTADOS si se ejecuta,Pendiente
4_cuda,2026-05-14,Augment ROI multiclase train (rot+/-4deg scale 0.98-1.02) sobre V3+Fase3,4,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase4_augmentacion_roi/,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase4_augmentacion_roi/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase4_augmentacion_roi_cuda.ipynb,outputs/analysis_outputs_v3/training_runs_cascade_v3_fase4_augment_roi_cuda/,42,0.2380,0.1415,Bin Dice 0.8710; val max ~0.2325 ep22; macro +0.0035 vs 3_cuda_repro_b; +0.0486 vs baseline; T10/T11 up vs B T9/L5 down; ROI 198/198,Adoptar
5_cuda_s42,2026-05-15,Multiseed misma pipeline F3+F4 semilla 42 (control vs Fase 4),5,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase5_multiseed/,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase5_multiseed/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase5_multiseed_cuda_seed42.ipynb,outputs/analysis_outputs_v3/training_runs_cascade_v3_fase5_multiseed_cuda_s42/,42,0.2294,0.1365,Bin Dice 0.8710; val max ~0.2226 ep22; macro -0.0086 vs 4_cuda; +0.0400 vs baseline; ROI 198/198; ver RESULTADOS Fase 5,Prometedor no consolidado
5_cuda_s1337,2026-05-15,Multiseed misma pipeline F3+F4 semilla 1337,5,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase5_multiseed/,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase5_multiseed/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase5_multiseed_cuda_seed1337.ipynb,outputs/analysis_outputs_v3/training_runs_cascade_v3_fase5_multiseed_cuda_s1337/,1337,0.2457,0.1503,Bin Dice 0.8943; val max ~0.2609 ep19; macro +0.0077 vs 4_cuda; T10 dice 0.1261; ROI 198/198,Prometedor no consolidado
5_cuda_s4242,2026-05-15,Multiseed misma pipeline F3+F4 semilla 4242,5,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase5_multiseed/,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase5_multiseed/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase5_multiseed_cuda_seed4242.ipynb,outputs/analysis_outputs_v3/training_runs_cascade_v3_fase5_multiseed_cuda_s4242/,4242,0.1737,0.1035,Bin Dice 0.8582; val max ~0.1685 ep24; macro -0.0643 vs 4_cuda; T10 dice 0 test; ROI 198/198,Prometedor no consolidado
6_cuda,2026-05-15,Post-proceso islas por clase test (K=0 min 64px) sobre pipeline vivo F3+F4,6,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase6_postproceso_ligero/,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase6_postproceso_ligero/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase6_postproceso_ligero_cuda.ipynb,outputs/analysis_outputs_v3/training_runs_cascade_v3_fase6_postproc_cuda/,42,0.2294,0.1360,Bin Dice 0.8710; macro sin post 0.2294 vs con post islas 0.2273 (-0.0021); T9-T12 mayormente bajan; ver RESULTADOS Fase 6,No adoptar
6_cpu,,Post-proceso islas perfil CPU (opcional),6,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase6_postproceso_ligero/,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase6_postproceso_ligero/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase6_postproceso_ligero_cpu.ipynb,outputs/analysis_outputs_v3/training_runs_cascade_v3_fase6_postproc_cpu/,42,,,Opcional; decision tomada en 6_cuda; ver RESULTADOS Fase 6,No ejecutado / N/A
7_cuda,2026-05-15,Notebook autocontenido cascada+last_visible+clipping (bloque 07 adaptado),7,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase7_auxiliares_rango_lastvis/,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase7_auxiliares_rango_lastvis/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase7_auxiliares_rango_lastvis_cuda.ipynb,outputs/analysis_outputs_v3/training_runs_cascade_v3_fase7_lastvis_cuda/ + training_runs_last_visible_fase7_cuda/,42,0.2258,0.1341,Bin Dice 0.8710; val max 0.2247 ep22; macro -0.0122 vs 4_cuda; last exact 0.25 within1 0.425; last_pred_clip macro 0.2295 (+0.0079 vs raw),No adoptar
7_cpu,,Fase 7 perfil CPU (opcional),7,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase7_auxiliares_rango_lastvis/,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase7_auxiliares_rango_lastvis/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase7_auxiliares_rango_lastvis_cpu.ipynb,outputs/analysis_outputs_v3/training_runs_cascade_v3_fase7_lastvis_cpu/,42,,,Opcional; decision en 7_cuda; ver RESULTADOS Fase 7,Pendiente
8_cuda,2026-05-15,Resolucion 384x192 + UNet base=24 (eficiencia vs vivo 512x256 base=32),8,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase8_eficiencia/,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase8_eficiencia/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase8_eficiencia_cuda.ipynb,outputs/analysis_outputs_v3/training_runs_cascade_v3_fase8_eficiencia_cuda/,42,0.2157,0.1319,Bin Dice 0.8906; val max 0.2163 ep20; macro -0.0223 vs 4_cuda (umbral 0.01 no cumple); T9/T10/L5 up macro down,No adoptar
8_cpu,,Fase 8 perfil CPU (opcional),8,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase8_eficiencia/,notebooks/v3_local/mejoras/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase8_eficiencia/train_spine_cascade_binary_to_thoracolumbar_v3_mejorafase8_eficiencia_cpu.ipynb,outputs/analysis_outputs_v3/training_runs_cascade_v3_fase8_eficiencia_cpu/,42,,,256x128 base=24; decision en 8_cuda,Pendiente
