unique_sample_id,split,image,gt_first_label,gt_last_label,last_pred_label,gt_labels,raw_labels,oracle_labels,last_pred_clip_labels,raw_extra_count,oracle_extra_count,last_extra_count,raw_missing_count,oracle_missing_count,last_missing_count,prev_range_clip_labels,prev_extra_count,prev_missing_count,last_extra_reduction_vs_raw,last_missing_change_vs_raw
Normal__N_7.jpg,Normal,N_7.jpg,T1,L5,L5,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5",0,0,0,0,0,0,,,,0,0
Normal__N_19.jpg,Normal,N_19.jpg,T1,L5,L5,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5",0,0,0,0,0,0,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5",0.0,0.0,0,0
Normal__N_24.jpg,Normal,N_24.jpg,T1,L5,L5,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5",0,0,0,0,0,0,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5",0.0,0.0,0,0
Normal__N_25.jpg,Normal,N_25.jpg,T1,L3,L5,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5",2,0,2,0,0,0,,,,0,0
Normal__N_27.jpg,Normal,N_27.jpg,T1,L2,L4,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4",3,0,2,0,0,0,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5",3.0,0.0,1,0
Normal__N_28.jpg,Normal,N_28.jpg,T1,L3,L5,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3","T1, T2, T3, T4, T5, T6, T7, T8, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T10, T11, T12, L1, L2, L3","T1, T2, T3, T4, T5, T6, T7, T8, T10, T11, T12, L1, L2, L3, L4, L5",2,0,2,1,0,1,,,,0,0
Normal__N_32.jpg,Normal,N_32.jpg,T1,L5,L5,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4",0,0,0,1,0,1,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4",0.0,1.0,0,0
Normal__N_39.jpg,Normal,N_39.jpg,T1,L4,L5,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L2, L3, L4","T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T8, T9, T10, T11, T12, L1, L2, L3, L4","T8, T9, T10, T11, T12, L1, L2, L3, L4, L5",2,1,2,7,1,7,,,,0,0
Normal__N_54.jpg,Normal,N_54.jpg,T1,L5,L5,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5",0,0,0,0,0,0,,,,0,0
Normal__N_64.jpg,Normal,N_64.jpg,T1,L5,L5,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5",0,0,0,0,0,0,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5",0.0,0.0,0,0
Normal__N_66.jpg,Normal,N_66.jpg,T1,L5,L4,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4",0,0,0,0,0,1,,,,0,1
Scoliosis__S_22.jpg,Scoliosis,S_22.jpg,T1,T10,L5,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5",7,0,7,0,0,0,,,,0,0
Scoliosis__S_25.jpg,Scoliosis,S_25.jpg,T1,T12,T12,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12",5,0,0,0,0,0,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5",5.0,0.0,5,0
Scoliosis__S_33.jpg,Scoliosis,S_33.jpg,T1,T12,L4,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4",5,0,4,0,0,0,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5",5.0,0.0,1,0
Scoliosis__S_35.jpg,Scoliosis,S_35.jpg,T1,L2,T12,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12",3,0,0,0,0,2,,,,3,2
Scoliosis__S_43.jpg,Scoliosis,S_43.jpg,T1,L1,L3,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3",4,0,2,0,0,0,,,,2,0
Scoliosis__S_52.jpg,Scoliosis,S_52.jpg,T1,L1,L3,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3",3,0,2,0,0,0,,,,1,0
Scoliosis__S_61.jpg,Scoliosis,S_61.jpg,T1,T12,L4,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4",5,0,4,0,0,0,,,,1,0
Scoliosis__S_82.jpg,Scoliosis,S_82.jpg,T1,T10,T12,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12",7,0,2,0,0,0,,,,5,0
Scoliosis__S_90.jpg,Scoliosis,S_90.jpg,T1,T12,L3,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3",5,0,3,0,0,0,,,,2,0
Scoliosis__S_102.jpg,Scoliosis,S_102.jpg,T1,L4,L4,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2","T1, T8, T9, T10, T11, T12, L1, L2, L3, L4","T1, T8, T9, T10, T11, T12, L1, L2, L3, L4","T1, T8, T9, T10, T11, T12, L1, L2, L3, L4",2,2,2,6,2,6,,,,0,0
Scoliosis__S_105.jpg,Scoliosis,S_105.jpg,T1,L3,L4,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3","T1, T2, T3, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3","T1, T2, T3, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4",2,0,1,1,0,1,,,,1,0
Scoliosis__S_106.jpg,Scoliosis,S_106.jpg,T1,L5,T12,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12",0,0,0,0,0,5,,,,0,5
Scoliosis__S_111.jpg,Scoliosis,S_111.jpg,T1,L5,L5,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, L4, L5","T1, T2, T3, T4, T5, T6, T7, L4, L5","T1, T2, T3, T4, T5, T6, T7, L4, L5",0,0,0,8,0,8,,,,0,0
Scoliosis__S_115.jpg,Scoliosis,S_115.jpg,T1,L5,L1,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1",0,0,0,0,0,4,,,,0,4
Scoliosis__S_123.jpg,Scoliosis,S_123.jpg,T1,L5,L4,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4",0,0,0,0,0,1,,,,0,1
Scoliosis__S_127.jpg,Scoliosis,S_127.jpg,T1,L3,L4,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4",2,0,1,0,0,0,,,,1,0
Scoliosis__S_140.jpg,Scoliosis,S_140.jpg,T1,L4,T12,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12",1,0,0,0,0,4,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5",1.0,0.0,1,4
Scoliosis__S_162.jpg,Scoliosis,S_162.jpg,T1,T10,T12,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12",7,0,2,0,0,0,,,,5,0
Scoliosis__S_164.jpg,Scoliosis,S_164.jpg,T1,L1,L2,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2",4,0,1,0,0,0,,,,3,0
Scoliosis__S_165.jpg,Scoliosis,S_165.jpg,T1,L3,T12,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12",2,0,0,0,0,3,,,,2,3
Scoliosis__S_167.jpg,Scoliosis,S_167.jpg,T1,T11,L4,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4",6,0,5,0,0,0,,,,1,0
Scoliosis__S_169.jpg,Scoliosis,S_169.jpg,T1,L3,L5,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T12, L1, L2, L3","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T12, L1, L2, L3, L4, L5",2,0,2,1,0,1,,,,0,0
Scoliosis__S_174.jpg,Scoliosis,S_174.jpg,T1,L2,L5,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4",2,0,2,0,0,0,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4",2.0,0.0,0,0
Scoliosis__S_175.jpg,Scoliosis,S_175.jpg,T1,T12,T12,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12",5,0,0,0,0,0,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5",5.0,0.0,5,0
Scoliosis__S_176.jpg,Scoliosis,S_176.jpg,T1,L2,L4,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L3, L4",3,0,2,1,0,1,,,,1,0
Scoliosis__S_191.jpg,Scoliosis,S_191.jpg,T1,L5,T12,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12",0,0,0,0,0,5,,,,0,5
Scoliosis__S_192.jpg,Scoliosis,S_192.jpg,T1,L3,L4,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4",2,0,1,0,0,0,,,,1,0
Scoliosis__S_198.jpg,Scoliosis,S_198.jpg,T1,T12,L3,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3",5,0,3,0,0,0,,,,2,0
Scoliosis__S_202.jpg,Scoliosis,S_202.jpg,T1,L4,T12,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4, L5","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, L1, L2, L3, L4","T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12",1,0,0,0,0,4,,,,1,4
